participant,gender,age,education,language,crt1,crt2,crt3,nfm1,nfm2,nfm3,nfm4,po
1,m,29,Master,Muttersprache,2.5,2,47,6,7,2,1,3
2,m,29,Bachelor,Muttersprache,2.25,2,47,4,2,3,1,3
3,m,29,Master,Muttersprache,2.25,2,47,5,3,4,1,2
4,m,28,Master,Muttersprache,3.25,2,47,7,2,2,1,4
5,m,23,Bachelor,Muttersprache,3.25,2,47,7,9,3,4,5
6,m,26,Master,Muttersprache,2.25,2,47,8,3,6,1,5
7,m,31,Master,Muttersprache,2.25,2,47,8,7,9,4,4
8,f,21,Abitur,Muttersprache,2.25,2,47,2,5,3,2,4
9,f,26,Bachelor,Muttersprache,2,2,47,5,3,3,2,3
10,f,21,Abitur,Muttersprache,1.75,2,12,1,4,9,1,3
11,f,21,Abitur,Muttersprache,2.25,2,47,7,3,2,1,3
12,f,28,Abitur/Staatsexamen,Muttersprache,2.25,2,24,7,9,3,1,4
13,f,24,Bachelor,Muttersprache,2.25,2,47,6,3,3,2,4
14,m,19,Abitur,Muttersprache,2.25,2,47,7,6,8,3,8
15,m,28,Bachelor,Muttersprache,2.25,2,47,2,7,1,1,4
16,f,21,Abitur,Muttersprache,2.25,2,47,5,6,7,3,2
18,f,29,Staatsexamen Medizin,Muttersprache,nan,nan,nan,3,3,3,2,7
19,m,32,Master,B2,2.25,2,47,2,4,2,1,5
20,m,24,Abitur,C2,2.25,2,15,3,8,1,1,3
21,m,33,Bachelor,Muttersprache,2.25,2,47,3,5,5,3,5
22,f,19,Abitur,Muttersprache,2.25,2,12,3,4,2,2,5
23,f,22,Abitur,Muttersprache,2.25,2,47,4,3,2,2,3
24,f,23,Bachelor,Muttersprache,1.5,2,12,2,6,4,1,3
26,f,38,Master,C1,2.25,2,47,1,3,1,1,6
27,f,24,Bachelor,Muttersprache,2.25,200,47,8,4,6,1,2
