participant,question,version,viewingTimeSec,fixationCount,saccadeCount,meanFixationDuration,meanSaccadeDuration,meanPupilDiamater,meanPupilDiamaterFixation,minFixationDuration,maxFixationDuration,minSaccadeDuration,maxSaccadeDuration,viewingTimeSec_S2,believability
1,1,fake,8.023,28,31,239.25,32.71,0.8320000000000001,0.831,87.0,480.0,15.0,60.0,13.022,4
1,2,true,10.023,36,41,231.639,29.0,0.841,0.841,72.0,575.0,15.0,52.0,16.057000000000002,5
1,3,fake,18.012,66,75,228.62099999999998,28.173000000000002,0.867,0.866,67.0,640.0,2.0,78.0,14.062999999999999,2
1,4,fake,17.06,63,72,227.84099999999998,28.333000000000002,0.821,0.821,63.0,598.0,10.0,58.0,17.05,4
1,5,fake,22.081999999999997,78,85,245.718,26.741,0.852,0.851,77.0,597.0,12.0,72.0,15.025,2
1,6,fake,15.065,57,63,219.19299999999998,29.27,0.8140000000000001,0.8140000000000001,78.0,440.0,12.0,53.0,12.057,-1
1,7,fake,8.008,28,34,232.071,31.029,0.85,0.8490000000000001,108.0,387.0,10.0,73.0,23.081999999999997,2
1,8,true,11.065,42,53,215.929,29.0,0.826,0.825,67.0,442.0,3.0,77.0,14.055,4
1,9,true,15.107999999999999,58,65,217.69,30.491999999999997,0.8290000000000001,0.828,68.0,477.0,7.0,85.0,13.058,3
1,10,true,14.16,50,53,247.52,30.208000000000002,0.816,0.816,67.0,512.0,8.0,72.0,13.182,4
1,11,true,13.05,49,55,210.408,28.891,0.882,0.8809999999999999,68.0,410.0,8.0,62.0,16.062,5
1,12,true,10.025,36,38,226.111,32.079,0.8190000000000001,0.8190000000000001,117.0,350.0,7.0,83.0,14.987,4
1,13,true,13.04,44,50,253.614,29.32,0.807,0.807,68.0,668.0,10.0,78.0,17.048,4
1,14,true,10.022,38,43,219.02599999999998,31.395,0.8079999999999999,0.8079999999999999,82.0,595.0,13.0,58.0,14.023,4
1,15,true,17.065,62,70,228.016,32.857,0.8390000000000001,0.8390000000000001,75.0,520.0,10.0,92.0,13.023,5
1,16,true,13.043,42,50,230.61900000000003,30.86,0.8370000000000001,0.836,105.0,430.0,2.0,122.0,14.017000000000001,2
1,17,true,6.9670000000000005,21,24,278.905,30.583000000000002,0.8440000000000001,0.843,72.0,447.0,13.0,62.0,13.017999999999999,5
1,18,fake,14.013,57,64,200.93,26.671999999999997,0.8420000000000001,0.841,60.0,470.0,7.0,48.0,19.058,2
1,19,true,12.062000000000001,45,54,211.044,31.963,0.8290000000000001,0.828,87.0,460.0,8.0,93.0,25.142,5
1,20,fake,27.128,98,109,235.827,30.954,0.861,0.86,112.0,487.0,7.0,78.0,15.048,4
1,21,true,8.012,29,34,228.89700000000002,30.235,0.838,0.8370000000000001,108.0,387.0,13.0,63.0,13.02,4
1,22,fake,6.002000000000001,20,24,226.25,32.042,0.858,0.858,130.0,408.0,15.0,82.0,13.017999999999999,1
1,23,true,15.068,56,63,227.46400000000003,28.111,0.818,0.818,67.0,458.0,7.0,62.0,22.058000000000003,2
1,24,fake,15.01,55,58,227.03599999999997,30.655,0.879,0.879,65.0,405.0,5.0,82.0,19.1,4
1,25,fake,8.022,30,34,223.533,32.912,0.8059999999999999,0.8059999999999999,78.0,510.0,13.0,68.0,12.017999999999999,-1
1,26,fake,13.062999999999999,47,52,233.149,30.769000000000002,0.831,0.831,93.0,470.0,7.0,80.0,15.023,4
1,27,fake,12.065,46,48,222.0,29.354,0.8009999999999999,0.8009999999999999,110.0,458.0,15.0,62.0,12.095,-1
1,28,true,10.065,37,49,209.622,31.796,0.838,0.8370000000000001,67.0,418.0,5.0,77.0,18.073,4
1,29,fake,18.083,61,70,236.787,29.186,0.878,0.877,93.0,710.0,5.0,75.0,14.058,2
1,30,fake,18.062,67,74,231.299,29.811,0.8109999999999999,0.81,77.0,665.0,8.0,67.0,12.012,2
1,31,true,8.023,26,28,260.615,31.070999999999998,0.804,0.804,142.0,615.0,18.0,75.0,14.045,4
1,32,fake,19.122,70,78,236.114,28.372,0.815,0.815,65.0,725.0,5.0,65.0,16.06,1
1,33,true,6.002000000000001,23,26,197.87,35.038000000000004,0.8170000000000001,0.816,62.0,440.0,20.0,67.0,12.061,-1
1,34,fake,16.002,59,63,227.71200000000002,28.397,0.8390000000000001,0.8390000000000001,72.0,502.0,15.0,57.0,13.064,4
1,35,fake,8.002,27,29,243.704,30.759,0.83,0.8290000000000001,118.0,473.0,18.0,60.0,12.057,1
1,36,true,11.062999999999999,40,41,244.5,29.073,0.8270000000000001,0.8270000000000001,120.0,693.0,15.0,63.0,12.017999999999999,4
1,37,true,8.007,30,32,214.733,32.0,0.833,0.833,115.0,427.0,7.0,62.0,17.105,2
1,38,fake,16.158,51,56,247.804,28.125,0.8690000000000001,0.8690000000000001,92.0,513.0,8.0,125.0,44.225,3
1,39,true,9.008,32,36,221.25,29.583000000000002,0.828,0.828,103.0,348.0,7.0,68.0,17.022000000000002,4
1,40,true,10.027000000000001,37,41,226.459,30.732,0.8590000000000001,0.858,88.0,452.0,12.0,65.0,16.018,4
1,41,fake,13.068,48,52,230.146,31.904,0.831,0.83,95.0,425.0,12.0,70.0,13.082,4
1,42,fake,18.062,73,78,212.16400000000002,29.923000000000002,0.812,0.812,72.0,525.0,2.0,67.0,13.017000000000001,4
1,43,fake,20.065,77,85,221.0,30.976,0.8220000000000001,0.8220000000000001,73.0,530.0,15.0,63.0,13.062000000000001,2
1,44,fake,17.047,57,66,248.47400000000002,29.561,0.8690000000000001,0.8690000000000001,115.0,693.0,13.0,60.0,30.14,4
1,45,fake,12.062000000000001,43,49,234.16299999999998,30.694000000000003,0.8290000000000001,0.8290000000000001,82.0,587.0,13.0,68.0,14.095,4
1,46,fake,19.062,64,74,256.85900000000004,27.095,0.8079999999999999,0.8079999999999999,78.0,832.0,12.0,75.0,12.052,3
1,47,true,25.131999999999998,86,99,241.988,31.333000000000002,0.894,0.894,95.0,1197.0,12.0,83.0,40.199,5
1,48,true,14.062999999999999,48,49,244.417,32.286,0.821,0.82,83.0,440.0,10.0,62.0,13.008,2
1,49,true,10.027999999999999,34,38,239.5,31.921,0.82,0.82,72.0,437.0,13.0,68.0,13.052999999999999,4
1,50,true,9.96,33,40,200.424,30.775,0.83,0.8290000000000001,78.0,413.0,5.0,60.0,25.14,2
1,51,true,10.118,36,46,225.55599999999998,28.609,0.826,0.825,87.0,497.0,3.0,52.0,13.14,1
1,52,fake,11.005,41,44,222.707,31.523000000000003,0.879,0.879,90.0,385.0,12.0,77.0,14.013,2
1,53,fake,17.085,62,67,232.468,30.03,0.861,0.86,82.0,467.0,3.0,93.0,13.042,1
1,54,true,14.047,45,52,234.822,29.846,0.8809999999999999,0.88,72.0,643.0,12.0,72.0,20.063,4
1,55,true,7.023,29,33,200.72400000000002,30.364,0.8320000000000001,0.8320000000000001,102.0,367.0,12.0,67.0,17.058,4
1,56,true,9.14,32,34,240.71900000000002,31.706,0.825,0.8240000000000001,70.0,472.0,12.0,63.0,12.18,3
1,57,fake,10.022,35,39,236.257,34.513000000000005,0.816,0.815,122.0,555.0,5.0,68.0,12.02,-1
1,58,true,6.9879999999999995,26,29,210.308,31.379,0.838,0.8370000000000001,115.0,477.0,13.0,62.0,14.038,1
1,59,fake,28.258000000000003,110,117,217.791,30.41,0.8370000000000001,0.8370000000000001,60.0,692.0,7.0,100.0,13.185,1
1,60,fake,22.143,79,89,241.709,29.427,0.828,0.8270000000000001,73.0,540.0,7.0,115.0,15.097999999999999,2
2,1,true,22.08,78,84,246.013,26.214000000000002,0.765,0.765,67.0,712.0,8.0,65.0,16.038,5
2,2,fake,27.125,101,112,221.188,28.195999999999998,0.7559999999999999,0.7559999999999999,93.0,545.0,7.0,75.0,13.025,2
2,3,true,30.129,113,125,229.38099999999997,25.928,0.7709999999999999,0.7709999999999999,73.0,950.0,3.0,68.0,15.023,5
2,4,true,28.142,97,112,249.59799999999998,27.054000000000002,0.722,0.721,67.0,792.0,7.0,70.0,13.013,3
2,5,true,21.04,80,88,227.225,28.205,0.7440000000000001,0.743,65.0,607.0,2.0,68.0,13.062000000000001,2
2,6,true,19.102999999999998,66,73,248.045,26.644000000000002,0.7090000000000001,0.7090000000000001,68.0,608.0,8.0,67.0,13.01,5
2,7,true,14.047,54,60,214.185,27.233,0.7659999999999999,0.7659999999999999,80.0,590.0,2.0,63.0,13.065,5
2,8,fake,23.145,84,96,235.393,25.771,0.7390000000000001,0.7390000000000001,98.0,1090.0,3.0,70.0,18.062,4
2,9,fake,22.103,80,88,237.338,27.193,0.7559999999999999,0.7559999999999999,88.0,772.0,7.0,62.0,14.022,4
2,10,fake,30.299,106,123,241.877,28.138,0.737,0.737,63.0,640.0,3.0,67.0,18.265,2
2,11,fake,19.042,67,71,243.373,26.732,0.769,0.769,77.0,628.0,13.0,63.0,14.017000000000001,5
2,12,fake,18.063,65,77,232.50799999999998,24.455,0.752,0.7509999999999999,62.0,990.0,2.0,55.0,17.018,1
2,13,fake,21.045,72,76,256.389,28.961,0.716,0.7170000000000001,87.0,557.0,7.0,70.0,13.023,5
2,14,fake,16.065,58,61,244.24099999999999,27.098000000000003,0.773,0.774,102.0,677.0,12.0,67.0,13.023,2
2,15,fake,18.107,71,83,211.169,28.301,0.745,0.745,77.0,535.0,5.0,55.0,19.063,4
2,16,fake,23.085,84,92,225.952,28.076,0.745,0.745,93.0,668.0,8.0,85.0,13.062000000000001,4
2,17,fake,13.982999999999999,55,62,211.03599999999997,26.660999999999998,0.754,0.754,72.0,387.0,3.0,63.0,13.06,2
2,18,true,22.048000000000002,84,95,218.821,27.147,0.7490000000000001,0.7490000000000001,77.0,565.0,7.0,70.0,12.017999999999999,-1
2,19,fake,23.148000000000003,81,99,231.30900000000003,26.455,0.737,0.736,67.0,625.0,2.0,67.0,16.018,3
2,20,true,24.128,88,94,237.386,28.456999999999997,0.758,0.757,82.0,853.0,10.0,57.0,13.007,5
2,21,fake,19.05,69,74,226.362,28.108,0.727,0.727,107.0,515.0,10.0,85.0,13.04,2
2,22,true,10.062999999999999,34,37,242.765,32.0,0.722,0.722,93.0,698.0,13.0,62.0,14.062999999999999,4
2,23,fake,24.083000000000002,88,95,224.0,27.737,0.73,0.73,60.0,618.0,7.0,73.0,15.007,4
2,24,true,21.09,77,81,237.857,28.728,0.765,0.764,62.0,687.0,5.0,78.0,14.038,4
2,25,true,17.02,63,70,218.476,29.614,0.7170000000000001,0.7170000000000001,68.0,518.0,7.0,87.0,13.017000000000001,4
2,26,true,22.105,76,82,252.71099999999998,27.134,0.711,0.711,98.0,797.0,7.0,63.0,22.055,4
2,27,fake,15.038,53,56,236.453,28.320999999999998,0.723,0.723,103.0,502.0,12.0,83.0,15.058,3
2,28,fake,19.102999999999998,70,75,234.171,26.853,0.765,0.765,75.0,593.0,12.0,60.0,13.017999999999999,4
2,29,true,27.048000000000002,97,110,232.485,27.445,0.782,0.7829999999999999,70.0,707.0,3.0,75.0,16.098,4
2,30,true,15.06,57,69,222.93,27.551,0.768,0.767,77.0,537.0,3.0,62.0,15.042,5
2,31,fake,12.022,44,46,225.545,30.543000000000003,0.721,0.721,67.0,420.0,7.0,68.0,14.022,4
2,32,true,14.998,58,62,225.56900000000002,27.355,0.768,0.767,62.0,465.0,7.0,72.0,13.027999999999999,4
2,33,fake,12.023,40,46,244.975,29.783,0.747,0.748,85.0,622.0,13.0,98.0,15.078,3
2,34,true,14.062000000000001,51,65,210.47099999999998,27.708000000000002,0.7040000000000001,0.7020000000000001,72.0,678.0,2.0,75.0,13.037,5
2,35,true,11.04,39,41,240.53799999999998,33.0,0.72,0.72,105.0,697.0,13.0,68.0,12.047,5
2,36,fake,19.082,71,81,219.986,26.765,0.7490000000000001,0.7490000000000001,73.0,490.0,8.0,87.0,13.055,3
2,37,fake,19.048,69,76,234.65200000000002,27.789,0.7659999999999999,0.767,60.0,588.0,3.0,77.0,16.021,4
2,38,true,26.237,99,116,217.768,24.983,0.81,0.81,72.0,457.0,2.0,58.0,27.142,4
2,39,fake,17.065,59,61,241.729,28.656,0.7190000000000001,0.7190000000000001,77.0,643.0,12.0,95.0,18.063,3
2,40,fake,22.105,87,101,215.08,26.188000000000002,0.746,0.746,87.0,615.0,5.0,93.0,14.0,4
2,41,true,14.085,53,59,217.17,28.101999999999997,0.7559999999999999,0.7559999999999999,93.0,492.0,12.0,73.0,14.05,2
2,42,true,17.058,61,71,240.541,26.634,0.762,0.7609999999999999,60.0,883.0,3.0,65.0,15.062000000000001,4
2,43,true,18.062,69,76,221.928,25.829,0.732,0.732,72.0,563.0,5.0,67.0,17.062,2
2,44,true,23.09,89,96,219.87599999999998,26.115,0.759,0.759,73.0,673.0,7.0,73.0,17.062,3
2,45,true,16.042,58,64,229.845,29.875,0.7240000000000001,0.7240000000000001,97.0,532.0,7.0,75.0,13.017999999999999,3
2,46,true,16.052,63,66,222.25400000000002,25.848000000000003,0.7559999999999999,0.755,62.0,528.0,12.0,62.0,14.062999999999999,4
2,47,fake,39.172,147,160,226.40099999999998,27.656,0.7829999999999999,0.7829999999999999,83.0,783.0,8.0,63.0,16.053,4
2,48,fake,15.04,54,61,232.778,29.443,0.7070000000000001,0.706,100.0,633.0,8.0,73.0,13.037,2
2,49,fake,12.062999999999999,42,52,231.476,31.308000000000003,0.721,0.72,83.0,457.0,3.0,100.0,14.058,4
2,50,fake,22.105,81,89,235.074,26.921,0.747,0.747,73.0,697.0,2.0,62.0,14.057,1
2,51,fake,21.265,74,80,249.622,28.738000000000003,0.74,0.7390000000000001,97.0,503.0,12.0,67.0,13.222000000000001,1
2,52,true,16.085,62,75,209.984,29.453000000000003,0.765,0.765,70.0,658.0,8.0,67.0,13.062000000000001,3
2,53,true,19.04,65,70,256.462,26.5,0.748,0.748,88.0,1268.0,10.0,70.0,13.02,1
2,54,fake,30.169,119,133,212.655,28.375999999999998,0.765,0.765,72.0,700.0,10.0,115.0,14.015,2
2,55,fake,24.066999999999997,85,97,235.047,28.464000000000002,0.71,0.71,63.0,568.0,3.0,70.0,17.097,1
2,56,fake,20.22,78,81,224.923,27.988000000000003,0.74,0.7390000000000001,63.0,690.0,10.0,82.0,18.22,4
2,57,true,20.045,72,76,238.111,27.566,0.7659999999999999,0.7659999999999999,78.0,748.0,5.0,60.0,13.062000000000001,4
2,58,fake,14.103,54,63,217.593,27.968000000000004,0.7759999999999999,0.775,90.0,523.0,3.0,63.0,13.06,2
2,59,true,23.223000000000003,86,101,221.023,29.04,0.743,0.743,82.0,503.0,2.0,70.0,18.217,4
2,60,true,29.08,109,119,230.33,26.546,0.732,0.732,70.0,752.0,8.0,63.0,13.023,3
3,1,fake,14.042,60,70,185.017,27.714000000000002,0.679,0.679,82.0,467.0,8.0,60.0,17.06,1
3,2,true,13.008,54,76,167.889,24.039,0.68,0.679,62.0,617.0,2.0,65.0,16.058,4
3,3,true,21.063000000000002,92,112,158.47799999999998,26.473000000000003,0.664,0.664,62.0,365.0,7.0,63.0,13.057,4
3,4,fake,25.145,103,125,180.146,26.768,0.657,0.657,62.0,830.0,3.0,70.0,14.02,3
3,5,true,17.08,64,81,187.312,24.16,0.659,0.66,60.0,565.0,7.0,50.0,14.023,4
3,6,true,9.023,35,48,163.314,24.208000000000002,0.655,0.654,60.0,347.0,7.0,48.0,13.043,5
3,8,fake,19.06,78,113,164.077,24.434,0.665,0.664,60.0,515.0,7.0,58.0,27.1,3
3,9,true,17.045,69,86,193.47799999999998,27.093000000000004,0.672,0.672,62.0,642.0,7.0,60.0,15.06,3
3,10,true,14.065,58,81,173.483,25.704,0.657,0.6559999999999999,60.0,448.0,3.0,67.0,16.06,3
3,11,true,15.142000000000001,61,71,187.607,27.055999999999997,0.653,0.653,60.0,482.0,7.0,58.0,14.058,3
3,12,true,21.065,83,101,196.771,25.129,0.65,0.65,63.0,500.0,7.0,80.0,14.055,5
3,13,true,29.182,113,138,191.442,24.651999999999997,0.6559999999999999,0.6559999999999999,60.0,1263.0,7.0,67.0,14.103,4
3,14,true,16.107,63,82,184.73,26.171,0.6809999999999999,0.6809999999999999,60.0,583.0,5.0,83.0,14.057,5
3,15,fake,28.144000000000002,115,155,177.035,26.174,0.6659999999999999,0.6659999999999999,62.0,487.0,2.0,62.0,39.18,2
3,16,true,18.06,82,105,158.988,25.305,0.642,0.643,62.0,318.0,5.0,62.0,14.062999999999999,4
3,17,true,13.0,46,54,183.674,28.63,0.708,0.7070000000000001,65.0,427.0,12.0,87.0,14.065,5
3,18,fake,22.041999999999998,91,115,187.418,26.616999999999997,0.662,0.662,62.0,415.0,3.0,65.0,16.097,1
3,19,fake,22.105,96,122,158.292,26.123,0.6609999999999999,0.662,63.0,308.0,7.0,57.0,20.057000000000002,3
3,20,fake,18.023,70,96,170.8,25.531,0.6759999999999999,0.6759999999999999,62.0,412.0,5.0,53.0,18.067,4
3,21,true,9.008,36,49,159.444,26.163,0.6609999999999999,0.6609999999999999,65.0,275.0,8.0,65.0,17.023,5
3,22,fake,10.027999999999999,43,60,164.953,23.933000000000003,0.677,0.677,68.0,547.0,3.0,63.0,13.013,3
3,23,true,27.101999999999997,117,146,173.718,27.205,0.655,0.654,65.0,528.0,3.0,70.0,15.057,3
3,24,fake,21.088,88,114,176.205,25.877,0.675,0.6759999999999999,67.0,488.0,2.0,58.0,18.058,5
3,25,fake,20.06,79,93,194.291,27.398000000000003,0.644,0.644,68.0,633.0,8.0,57.0,16.1,2
3,26,true,10.985,42,64,175.071,25.811999999999998,0.6459999999999999,0.644,72.0,408.0,5.0,60.0,18.057000000000002,3
3,27,fake,14.237,59,71,177.576,27.845,0.703,0.703,77.0,527.0,5.0,67.0,28.178,3
3,28,true,22.068,96,120,174.083,27.15,0.662,0.662,63.0,633.0,7.0,58.0,16.063,4
