starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
528193076,290.0,Fixation,1,0.84465,721.00,480.00,NaN,NaN,NaN,NaN
528483080,43.0,Saccade,1,0.78736,NaN,NaN,724.00,496.00,420.00,473.00
528526414,175.0,Fixation,2,0.75912,422.00,481.00,NaN,NaN,NaN,NaN
528701416,23.0,Saccade,2,0.74022,NaN,NaN,416.00,486.00,350.00,462.00
528724749,158.0,Fixation,3,0.72742,344.00,464.00,NaN,NaN,NaN,NaN
528883084,45.0,Saccade,3,0.71760,NaN,NaN,342.00,464.00,630.00,467.00
528928085,213.0,Fixation,4,0.70976,638.00,462.00,NaN,NaN,NaN,NaN
529141421,43.0,Saccade,4,0.70527,NaN,NaN,642.00,465.00,840.00,448.00
529184754,182.0,Fixation,5,0.70049,840.00,446.00,NaN,NaN,NaN,NaN
529366423,42.0,Saccade,5,0.69978,NaN,NaN,844.00,452.00,834.00,214.00
529408089,215.0,Fixation,6,0.69551,836.00,220.00,NaN,NaN,NaN,NaN
529623092,13.0,Saccade,6,0.69220,NaN,NaN,834.00,224.00,864.00,227.00
529636426,215.0,Fixation,7,0.70028,859.00,237.00,NaN,NaN,NaN,NaN
529851428,45.0,Saccade,7,0.71503,NaN,NaN,858.00,238.00,744.00,478.00
529896429,143.0,Fixation,8,0.72163,742.00,483.00,NaN,NaN,NaN,NaN
530039763,32.0,Saccade,8,0.73151,NaN,NaN,744.00,487.00,634.00,470.00
530071430,143.0,Fixation,9,0.73601,631.00,475.00,NaN,NaN,NaN,NaN
530214765,43.0,Saccade,9,0.73640,NaN,NaN,628.00,473.00,325.00,526.00
530258098,183.0,Fixation,10,0.73628,328.00,525.00,NaN,NaN,NaN,NaN
530441434,27.0,Saccade,10,0.74210,NaN,NaN,330.00,525.00,422.00,524.00
530468101,135.0,Fixation,11,0.74457,431.00,520.00,NaN,NaN,NaN,NaN
