starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
1228340735,53.0,Saccade,1,0.60855,NaN,NaN,966.00,548.00,642.00,510.00
1228394068,178.0,Fixation,1,0.55787,651.00,516.00,NaN,NaN,NaN,NaN
1228572403,48.0,Saccade,2,0.53747,NaN,NaN,649.00,518.00,319.00,457.00
1228620738,112.0,Fixation,2,0.53478,329.00,456.00,NaN,NaN,NaN,NaN
1228732405,22.0,Saccade,3,0.53703,NaN,NaN,332.00,454.00,296.00,430.00
1228754071,208.0,Fixation,3,0.54872,292.00,418.00,NaN,NaN,NaN,NaN
1228962407,23.0,Saccade,4,0.55884,NaN,NaN,295.00,420.00,282.00,486.00
1228985741,167.0,Fixation,4,0.56851,289.00,483.00,NaN,NaN,NaN,NaN
1229152409,28.0,Saccade,5,0.58277,NaN,NaN,292.00,484.00,372.00,488.00
1229180743,123.0,Fixation,5,0.59369,372.00,482.00,NaN,NaN,NaN,NaN
1229304077,37.0,Saccade,6,0.60251,NaN,NaN,370.00,482.00,536.00,497.00
1229340745,153.0,Fixation,6,0.60286,532.00,495.00,NaN,NaN,NaN,NaN
1229494079,32.0,Saccade,7,0.60840,NaN,NaN,528.00,494.00,691.00,518.00
1229525747,170.0,Fixation,7,0.60633,692.00,513.00,NaN,NaN,NaN,NaN
1229695748,35.0,Saccade,8,0.61139,NaN,NaN,692.00,516.00,920.00,531.00
1229730749,162.0,Fixation,8,0.61282,911.00,528.00,NaN,NaN,NaN,NaN
1229892417,42.0,Saccade,9,0.61857,NaN,NaN,912.00,524.00,558.00,495.00
1229934084,117.0,Fixation,9,0.61679,570.00,489.00,NaN,NaN,NaN,NaN
1230050751,22.0,Saccade,10,0.61953,NaN,NaN,572.00,490.00,512.00,486.00
1230072418,200.0,Fixation,10,0.62965,518.00,488.00,NaN,NaN,NaN,NaN
1230272420,30.0,Saccade,11,0.64312,NaN,NaN,520.00,491.00,666.00,496.00
1230302420,132.0,Fixation,11,0.64740,660.00,491.00,NaN,NaN,NaN,NaN
1230434088,25.0,Saccade,12,0.65101,NaN,NaN,660.00,492.00,710.00,510.00
1230459089,168.0,Fixation,12,0.65284,728.00,513.00,NaN,NaN,NaN,NaN
1230627424,32.0,Saccade,13,0.65733,NaN,NaN,727.00,506.00,903.00,536.00
1230659091,140.0,Fixation,13,0.65562,897.00,529.00,NaN,NaN,NaN,NaN
1230799092,33.0,Saccade,14,0.65452,NaN,NaN,896.00,530.00,1108.00,532.00
1230832426,145.0,Fixation,14,0.64642,1101.00,527.00,NaN,NaN,NaN,NaN
1230977427,42.0,Saccade,15,0.64535,NaN,NaN,1102.00,530.00,1030.00,332.00
1231019095,212.0,Fixation,15,0.64472,1033.00,339.00,NaN,NaN,NaN,NaN
1231230764,37.0,Saccade,16,0.64155,NaN,NaN,1028.00,344.00,1028.00,168.00
1231267429,348.0,Fixation,16,0.62959,1035.00,175.00,NaN,NaN,NaN,NaN
1231615765,42.0,Saccade,17,0.62170,NaN,NaN,1042.00,176.00,868.00,377.00
1231657420,132.0,Fixation,17,0.61742,872.00,372.00,NaN,NaN,NaN,NaN
1231789088,15.0,Saccade,18,0.61739,NaN,NaN,870.00,377.00,866.00,349.00
1231804088,120.0,Fixation,18,0.61872,865.00,348.00,NaN,NaN,NaN,NaN
1231924089,32.0,Saccade,19,0.62492,NaN,NaN,860.00,348.00,1038.00,356.00
1231955757,183.0,Fixation,19,0.62718,1033.00,351.00,NaN,NaN,NaN,NaN
1232139092,17.0,Saccade,20,0.62814,NaN,NaN,1029.00,351.00,1062.00,368.00
1232155759,327.0,Fixation,20,0.63291,1057.00,367.00,NaN,NaN,NaN,NaN
1232482429,42.0,Saccade,21,0.63374,NaN,NaN,1056.00,368.00,1036.00,181.00
1232524096,190.0,Fixation,21,0.63114,1035.00,188.00,NaN,NaN,NaN,NaN
1232714098,22.0,Saccade,22,0.62939,NaN,NaN,1038.00,191.00,982.00,176.00
1232735765,285.0,Fixation,22,0.62876,982.00,174.00,NaN,NaN,NaN,NaN
1233020768,22.0,Saccade,23,0.62568,NaN,NaN,980.00,172.00,1034.00,162.00
1233042435,277.0,Fixation,23,0.62249,1032.00,162.00,NaN,NaN,NaN,NaN
1233319105,37.0,Saccade,24,0.62033,NaN,NaN,1028.00,160.00,1046.00,291.00
1233355772,118.0,Fixation,24,0.62007,1043.00,290.00,NaN,NaN,NaN,NaN
1233474106,33.0,Saccade,25,0.62096,NaN,NaN,1044.00,289.00,1044.00,173.00
1233507440,233.0,Fixation,25,0.62452,1045.00,172.00,NaN,NaN,NaN,NaN
1233740776,60.0,Saccade,26,0.64455,NaN,NaN,1047.00,174.00,298.00,575.00
1233812443,2.0,Saccade,27,0.64641,NaN,NaN,316.00,560.00,316.00,560.00
1233814110,112.0,Fixation,26,0.63809,321.00,552.00,NaN,NaN,NaN,NaN
1233925778,65.0,Saccade,28,0.64710,NaN,NaN,321.00,551.00,1001.00,143.00
1234000779,2.0,Saccade,29,0.64935,NaN,NaN,980.00,154.00,980.00,154.00
1234002445,723.0,Fixation,27,0.64534,970.00,170.00,NaN,NaN,NaN,NaN
1234725787,17.0,Saccade,30,0.62101,NaN,NaN,964.00,164.00,993.00,162.00
1234742453,133.0,Fixation,28,0.61710,994.00,163.00,NaN,NaN,NaN,NaN
1234875788,38.0,Saccade,31,0.61776,NaN,NaN,994.00,162.00,869.00,348.00
